Product Code,Product Description,Product Category Code,Tharisa PLC (1),Main Catagory (2),Sub Area (3),Product Category Description,Plant Area (4),STAT GROUP (5),STAT GROUP (6),STAT GROUP (7),STAT GROUP (8),Item Status,Statistical Group Code, Statistical Group Code Description , Bin Location , Bin Location Type , Quantity On Order , Stock On Hand , Max Stock QTY , Reorder QTY , Safety Stock QTY ,Moving Average Price, Total Value of Item 
160200163,4AMP C CURCE,1602,Plant WH1,General,Consumables,Consumables - Electrical,Not Allocated,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ12204 , RACAR , -   ,6,4, -   , R 4.00 ,$89.66 ,537.95
160200165,MCB C60A 1P 10A C CURVE 5kA -  A9F64110,1602,Plant WH1,General,Consumables,Consumables - Electrical,MCB,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ12205 , RACAR , -   ,2,2, -   , R 2.00 ,$81.90 ,163.8
160200166,MCB C60A 1P 16A C CURVE 5kA - A9F64116,1602,Plant WH1,General,Consumables,Consumables - Electrical,MCB,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ12206 , RACAR , -   ,2,2, -   , R 2.00 ,$81.90 ,163.8
160200167,MCB C60A 1P 25A C CURVE,1602,Plant WH1,General,Consumables,Consumables - Electrical,MCB,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ12207 , RACAR , -   ,3,2, -   , R 2.00 ,$22.20 ,66.6
160200168,MCB C60A 2P 63A C CURVE 5kV - A9F64263 - 60683,1602,Plant WH1,General,Consumables,Consumables - Electrical,MCB,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ12208 , RACAR , -   ,3,2, -   , R 2.00 ,$22.20 ,66.6
160200169,MCB C60A 2P 25A C CURVE - A9F64225,1602,Plant WH1,General,Consumables,Consumables - Electrical,MCB,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock ,  ,  ,5, -   ,2, -   , R 2.00 ,$297.00 , -   
160200170,LV429005 NS X 100L C/B WITHOUT TRIP UNIT FRAME ONLY,1602,Plant WH1,General,Consumables,Consumables - Electrical,Not Allocated,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ11203 , RACAR , -   ,3,3, -   , R 3.00 ,"$2,567.31 ","7,701.92"
160200171,LV429125 - MA2.5 TRIP UNIT FOR NSX100,1602,Plant WH1,General,Consumables,Consumables - Electrical,Trip,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ11202 , RACAR , -   ,3,2, -   , R 2.00 ,$501.10 ,"1,503.30"
160200172,LV429124 3P3D MA6.3 TRIP UNIT FOR NSX100,1602,Plant WH1,General,Consumables,Consumables - Electrical,Trip,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ11204 , RACAR , -   ,2,2, -   , R 2.00 ,$421.15 ,842.3
160200173,LV429123 3P3D MA12.5 TRIP UNIT FOR NSX100,1602,Plant WH1,General,Consumables,Consumables - Electrical,Trip,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ11205 , RACAR , -   ,2,2, -   , R 2.00 ,$421.15 ,842.3
160200174,LV429122 3P3D MA25 TRIP UNIT FOR NSX100,1602,Plant WH1,General,Consumables,Consumables - Electrical,Trip,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ11206 , RACAR , -   ,2,2, -   , R 2.00 ,$421.15 ,842.3
160200175,LV429121 3P3D MA50 TRIP UNIT FOR NSX100,1602,Plant WH1,General,Consumables,Consumables - Electrical,Trip,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ10201 , RACAR , -   ,9,2, -   , R 2.00 ,$581.05 ,"5,229.45"
160200176,LV429120 3P3D MA100 TRIP UNIT FOR NSX100,1602,Plant WH1,General,Consumables,Consumables - Electrical,Trip,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ10202 , RACAR , -   ,11,2, -   , R 2.00 ,$581.05 ,"6,391.55"
160200177,LV432695 3P3D MICROLOGIC 2.3 400A NSX400,1602,Plant WH1,General,Consumables,Consumables - Electrical,Not Allocated,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ11207 , RACAR , -   ,2,2, -   , R 2.00 ,"$7,939.47 ","15,878.94"
160200178,AUXILLIARY OF OR SD OR SDE OR SDV 429450 - S12363 - SCHNEIDER,1602,Plant WH1,General,Consumables,Consumables - Electrical,Not Allocated,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ10203 , RACAR , -   ,2,2, -   , R 2.00 ,$250.00 ,500
160200179,EXTENDED STD ROTARY HANDLE LV429338,1602,Plant WH1,General,Consumables,Consumables - Electrical,Not Allocated,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ09201 , RACAR , -   ,2,2, -   , R 2.00 ,$925.54 ,"1,851.08"
160200180,EXTENDED STD ROTARY HANDLE LV432598,1602,Plant WH1,General,Consumables,Consumables - Electrical,Not Allocated,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ09202 , RACAR , -   ,2,2, -   , R 2.00 ,"$1,057.94 ","2,115.88"
160200181,D.CONTACTOR 38A  110V AC3.INO+1NC.110VAC COIL - LC1D38F7,1602,Plant WH1,General,Consumables,Consumables - Electrical,Contactor,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ09204 , RACAR , -   ,4,4, -   , R 4.00 ,"$1,199.56 ","4,798.24"
160200182,D.CONT.80A AC3 110VAC COIL,1602,Plant WH1,General,Consumables,Consumables - Electrical,Contactor,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ09203 , RACAR , -   ,2,2, -   , R 2.00 ,"$2,731.77 ","5,463.53"
160200183,D.CONT.115A AC3.110VAC COIL,1602,Plant WH1,General,Consumables,Consumables - Electrical,Contactor,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ09205 , RACAR , -   ,2,2, -   , R 2.00 ,"$3,084.91 ","6,169.82"
160200184,AUX CONT 2N/O,1602,Plant WH1,General,Consumables,Consumables - Electrical,Not Allocated,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ08201 , RACAR , -   ,2,2, -   , R 2.00 ,$116.63 ,233.26
160200185,AUX COUNT.1N/0+1N/C,1602,Plant WH1,General,Consumables,Consumables - Electrical,Not Allocated,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ08202 , RACAR , -   ,2,2, -   , R 2.00 ,$96.28 ,192.55
160200186,D.O/LOAD RELAY 0.63-1A - LRD05,1602,Plant WH1,General,Consumables,Consumables - Electrical,Relays,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ08203 , RACAR , -   ,3,3, -   , R 3.00 ,$394.71 ,"1,184.13"
160200187,D.O/LOAD RELAY 1-1.6A - LRD06,1602,Plant WH1,General,Consumables,Consumables - Electrical,Relays,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ01201 , RACAR , -   ,3,3, -   , R 3.00 ,$412.51 ,"1,237.52"
160200188,D.O/LOAD RELAY 2.5-4A LRD08,1602,Plant WH1,General,Consumables,Consumables - Electrical,Relays,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ03104 , RACAR , -   ,3,3, -   , R 3.00 ,$410.71 ,"1,232.12"
160200189,D.O/LOAD RELAY 12-18A - LRD21,1602,Plant WH1,General,Consumables,Consumables - Electrical,Relays,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ08206 , RACAR , -   ,4,3, -   , R 3.00 ,$420.82 ,"1,683.30"
